rarity;cardId;dbfId;name;cardSet;type;text;playerClass;locale;mechanics;faction;health;collectible;img;imgGold;attack;race;cost;flavor;artist;howToGet;howToGetGold;durability;elite;multiClassGroup;classes;armor;Taunt;Overload;ImmuneToSpellpower;Charge;Battlecry;Freeze;Divine Shield;Secret;Aura;Spell Damage;Windfury;AdjacentBuff;Poisonous;Discover;Silence;Stealth;Deathrattle;AffectedBySpellPower;Combo;Lifesteal;Inspire;InvisibleDeathrattle;AIMustPlay;Jade Golem;Adapt;Quest;Recruit;Rush;Echo;Magnetic;Overkill;Twinspell;Reborn;number mechanics
Free;CS2_041;149;Ancestral Healing;Basic;Spell;restore a minion to full health and give it taunt ;Shaman;enUS;Taunt;Neutral;0.0;True;http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_041.png;http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_041_premium.gif;0.0;None;0.0;I personally prefer some non-ancestral right-the-heck-now healing, but maybe that is just me.;Dan Scott;True;True;0.0;False;;;0.0;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;1.0
Free;GAME_002;1733;Avatar of the Coin;Basic;Minion;you lost the coin flip but gained a friend ;Neutral;enUS;None;None;1.0;False;http://wow.zamimg.com/images/hearthstone/cards/enus/original/GAME_002.png;http://wow.zamimg.com/images/hearthstone/cards/enus/animated/GAME_002_premium.gif;1.0;None;0.0;;;False;False;0.0;False;;;0.0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0.0
Free;CS2_072;180;Backstab;Basic;Spell;deal 2 damage to an undamaged minion ;Rogue;enUS;None;Neutral;0.0;True;http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_072.png;http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_072_premium.gif;0.0;None;0.0;"It's funny how often yelling ""Look over there!"" gets your opponent to turn around.";Michael Sutfin;True;True;0.0;False;;;0.0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0.0
Free;BCON_024;49249;Bottled Madness;Basic;Spell;replace your hand with random demons ;Warlock;enUS;None;None;0.0;False;http://wow.zamimg.com/images/hearthstone/cards/enus/original/BCON_024.png;http://wow.zamimg.com/images/hearthstone/cards/enus/animated/BCON_024_premium.gif;0.0;None;0.0;;;False;False;0.0;False;;;0.0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0.0
Free;BCON_021;49246;Crackling Doom;Basic;Spell;deal 12 damage to all minions overload 10 ;Shaman;enUS;Overload;None;0.0;False;http://wow.zamimg.com/images/hearthstone/cards/enus/original/BCON_021.png;http://wow.zamimg.com/images/hearthstone/cards/enus/animated/BCON_021_premium.gif;0.0;None;0.0;;;False;False;0.0;False;;;0.0;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;1.0
Free;EX1_169;254;Innervate;Basic;Spell;gain 1 mana crystal this turn only ;Druid;enUS;None;Neutral;0.0;True;http://media.services.zam.com/v1/media/byName/hs/cards/enus/EX1_169.png;http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/EX1_169_premium.gif;0.0;None;0.0;"Some druids still have flashbacks from strangers yelling ""Innervate me!!"" at them.";Doug Alexander;True;True;0.0;False;;;0.0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0.0
Common;CS2_mirror;968;Mirror Image;Basic;Minion;taunt;Mage;enUS;Taunt;Neutral;2.0;False;http://wow.zamimg.com/images/hearthstone/cards/enus/original/CS2_mirror.png;http://wow.zamimg.com/images/hearthstone/cards/enus/animated/CS2_mirror_premium.gif;0.0;None;0.0;;;False;False;0.0;False;;;0.0;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;1.0
Free;CS2_008;467;Moonfire;Basic;Spell;deal 1 damage ;Druid;enUS;None;Neutral;0.0;True;http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_008.png;http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_008_premium.gif;0.0;None;0.0;"""Cast Moonfire, and never stop."" - How to Be a Druid, Chapter 5, Section 3";Richard Wright;True;True;0.0;False;;;0.0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0.0
Free;NEW1_003;163;Sacrificial Pact;Basic;Spell;destroy a demon restore 5 health to your hero ;Warlock;enUS;None;None;0.0;True;http://media.services.zam.com/v1/media/byName/hs/cards/enus/NEW1_003.png;http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/NEW1_003_premium.gif;0.0;None;0.0;This is the reason that Demons never really become friends with Warlocks.;Jim Nelson;True;True;0.0;False;;;0.0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0.0
Free;EX1_244;830;Totemic Might;Basic;Spell;give your totems 2 health ;Shaman;enUS;None;Neutral;0.0;True;http://media.services.zam.com/v1/media/byName/hs/cards/enus/EX1_244.png;http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/EX1_244_premium.gif;0.0;None;0.0;Totem-stomping is no longer recommended.;Trent Kaniuga;True;True;0.0;False;;;0.0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0.0
Free;EX1_277;564;Arcane Missiles;Basic;Spell;deal 3 damage randomly split among all enemies ;Mage;enUS;ImmuneToSpellpower;Neutral;0.0;True;http://media.services.zam.com/v1/media/byName/hs/cards/enus/EX1_277.png;http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/EX1_277_premium.gif;0.0;None;1.0;You'd think you'd be able to control your missiles a little better since you're a powerful mage and all.;Warren Mahy;True;True;0.0;False;;;0.0;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;1.0
Free;DS1_185;877;Arcane Shot;Basic;Spell;deal 2 damage ;Hunter;enUS;None;Neutral;0.0;True;http://media.services.zam.com/v1/media/byName/hs/cards/enus/DS1_185.png;http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/DS1_185_premium.gif;0.0;None;1.0;Magi conjured arcane arrows to sell to hunters, until hunters learned just enough magic to do it themselves.  The resulting loss of jobs sent Stormwind into a minor recession.;Luca Zontini;True;True;0.0;False;;;0.0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0.0
Free;CS2_087;70;Blessing of Might;Basic;Spell;give a minion 3 attack ;Paladin;enUS;None;Neutral;0.0;True;http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_087.png;http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_087_premium.gif;0.0;None;1.0;"""As in, you MIGHT want to get out of my way."" - Toad Mackle, recently buffed.";Zoltan Boros;True;True;0.0;False;;;0.0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0.0
Common;CS2_boar;298;Boar;Basic;Minion;;Neutral;enUS;None;Neutral;1.0;False;http://wow.zamimg.com/images/hearthstone/cards/enus/original/CS2_boar.png;http://wow.zamimg.com/images/hearthstone/cards/enus/animated/CS2_boar_premium.gif;1.0;Beast;1.0;;;False;False;0.0;False;;;0.0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0.0
